method	level	percent	mb_s	seconds	compressed_bytes	original_bytes
pigzCF	1	50.89	1337.74	0.198	141225932	277534720
pigzCF	3	49.78	1228.25	0.215	138152472	277534720
pigzCF	6	48.31	857.86	0.309	134072232	277534720
pigzCF	7	48.24	809.81	0.327	133869565	277534720
pigzCF	9	48.16	394.46	0.671	133657527	277534720
pigzNG	1	58.77	2463.19	0.107	163093797	277534720
pigzNG	3	49.47	1320.77	0.2	137302761	277534720
pigzNG	6	48.43	1135.8	0.233	134401369	277534720
pigzNG	7	48.24	905.59	0.292	133869698	277534720
pigzNG	9	47.95	548.79	0.482	133082850	277534720
pigzSys	1	51.41	1271.98	0.208	142667366	277534720
pigzSys	3	49.83	1001.89	0.264	138305609	277534720
pigzSys	6	48.18	565.83	0.468	133728433	277534720
pigzSys	7	48.08	485.28	0.545	133440457	277534720
pigzSys	9	47.97	246.53	1.074	133146984	277534720
gzip	1	51.44	125.66	2.106	142761229	277534720
gzip	3	49.89	100.47	2.634	138470890	277534720
gzip	6	48.18	55.19	4.796	133727132	277534720
gzip	7	48.08	48.38	5.471	133443806	277534720
gzip	9	47.97	25.88	10.226	133145915	277534720
zstd	1	50.0	2321.49	0.114	138767587	277534720
zstd	2	48.6	1764.94	0.15	134887419	277534720
zstd	3	47.46	1308.7	0.202	131714618	277534720
zstd	10	44.68	260.02	1.018	123997653	277534720
zstd	19	42.63	10.22	25.896	118323339	277534720
